Position,#,Name,Height,Weight,Throws,Bats,Date Of Birth
Pitcher,52,Tanner Anderson,6.17,195,Right,Right,5/27/1993
Pitcher,24,Chris Archer,6.17,195,Right,Right,9/26/1988
Pitcher,43,Steven Brault,6.00,195,Left,Left,4/29/1992
Pitcher,57,Nick Burdi,6.42,220,Right,Right,1/19/1993
Pitcher,30,Kyle Crick,6.33,220,Right,Left,11/30/1992
Pitcher,45,Michael Feliz,6.33,240,Right,Right,6/28/1993
Pitcher,24,Tyler Glasnow,6.66,220,Right,Left,8/23/1993
Pitcher,68,Clay Holmes,6.42,230,Right,Right,3/27/1993
Pitcher,35,Keone Kela,6.08,210,Right,Right,4/16/1993
Pitcher,49,Nick Kingham,6.42,225,Right,Right,11/8/1991
Pitcher,70,George Kontos,6.25,225,Right,Right,6/12/1985
Pitcher,39,Chad Kuhl,6.25,216,Right,Right,9/10/1992
Pitcher,51,Alex McRae,6.17,220,Right,Right,4/6/1993
Pitcher,59,Joe Musgrove,6.42,260,Right,Right,12/4/1992
Pitcher,66,Dovydas Neverauskas,6.25,225,Right,Right,1/14/1993
Pitcher,46,Ivan Nova,6.42,250,Right,Right,1/12/1987
Pitcher,48,Richard Rodriguez,6.33,230,Right,Right,3/4/1990
Pitcher,72,Enny Romero,6.25,232,Left,Right,1/24/1991
Pitcher,65,Casey Sadler,6.25,220,Right,Right,7/13/1990
Pitcher,37,Edgar Santana,6.17,190,Right,Right,10/16/1991
Pitcher,53,Josh Smoker,6.17,255,Left,Left,11/26/1988
Pitcher,50,Jameson Taillon,6.42,230,Right,Right,11/18/1991
Pitcher,73,Felipe Vazquez,6.17,210,Left,Left,7/5/1991
Pitcher,34,Trevor Williams,6.25,230,Right,Right,4/25/1992
Catcher,29,Francisco Cervelli,6.08,210,Right,Right,3/6/1986
Catcher,32,Elias Diaz,6.00,215,Right,Right,11/17/1990
Catcher,63,Ryan Lavarnway,6.33,240,Right,Right,8/7/1987
Catcher,58,Jacob Stallings,6.42,220,Right,Right,12/22/1989
Infielder,55,Josh Bell,6.17,235,Right,Both,8/14/1992
Infielder,23,David Freese,6.17,220,Right,Right,4/28/1983
Infielder,5,Josh Harrison,5.66,185,Right,Right,7/8/1987
Infielder,15,Adeiny Hechavarria,6.00,195,Right,Right,4/15/1989
Infielder,16,Jung Ho Kang,6.00,210,Right,Right,4/5/1987
Infielder,44,Kevin Kramer,6.00,200,Right,Left,10/3/1993
Infielder,10,Jordy Mercer,6.25,210,Right,Right,8/27/1986
Infielder,19,Colin Moran,6.33,205,Right,Left,10/1/1992
Infielder,38,Max Moroff,5.83,185,Right,Both,5/13/1993
Infielder,27,Kevin Newman,6.03,180,Right,Right,8/4/1993
Infielder,36,Jose Osuna,6.17,240,Right,Right,12/12/1992
Infielder,3,Sean Rodriguez,6.00,200,Right,Right,4/26/1985
Outfielder,44,Chris Bostick,5.83,200,Right,Right,3/24/1993
Outfielder,12,Corey Dickerson,6.03,210,Right,Left,5/22/1989
Outfielder,26,Adam Frazier,5.83,180,Right,Left,12/14/1991
Outfielder,47,Jordan Luplow,6.03,195,Right,Right,9/26/1993
Outfielder,6,Starling Marte,6.03,190,Right,Right,10/9/1988
Outfielder,17,Austin Meadows,6.25,210,Left,Left,5/3/1995
Outfielder,25,Gregory Polanco,6.42,235,Left,Left,9/14/1991
Outfielder,15,Pablo Reyes,5.66,170,Right,Right,9/5/1993